run_id,variant,magnet_n,repetition,completed,timestamp_start,timestamp_end,nx,N,Tf,dt,sim_steps_requested,sim_steps_completed,disturbance_time_s,disturbance_applied,perturbation_scale,graph_build_time_s,equilibrium_time_s,n_instructions,n_nodes,nnz_jac_x,nnz_jac_u,ext_fun_compile_flags,dynamics_impl,correction_factor_fast,correction_time_s,build_ocp_time_s,build_sim_time_s,build_total_time_s,external_dyn_build_time_s,total_wall_time_s,generated_code_bytes,zEq_m,status_ok_count,status_max_iter_count,status_qp_fail_count,status_nonzero_count,diverged,sqp_iter_mean,sqp_iter_max,solve_time_reported_mean_ms,solve_time_reported_median_ms,solve_time_reported_p95_ms,solve_time_reported_max_ms,solve_wall_mean_ms,solve_wall_median_ms,solve_wall_p95_ms,solve_wall_max_ms,sim_wall_mean_ms,sim_wall_max_ms,final_state_error_norm,final_position_error_m,final_angle_norm_deg,rms_state_error_norm,rms_position_error_m,max_position_error_m,max_angle_norm_deg,mean_control_abs,max_control_abs,generated_code_dir,error_message,failure_category,per_run_bytes,per_run_c_lines,per_run_dyn_c_lines
full_n0004_rep01_mapped,full,4,1,0,NaT,21-May-2026 11:16:04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-O1,mapped,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,"Error using run_magnet_n_sweep>runSingleCase (line 238)
no_equilibrium: computeSolenoidRadiusCorrectionFactor found no real equilibrium for n=4.

Error in run_magnet_n_sweep (line 103)
                result = runSingleCase(cfg, variant, magnet_n, rep, run_id);
                         ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^",no_equilibrium,0,0,0
full_n0004_rep02_mapped,full,4,2,0,NaT,21-May-2026 11:16:05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-O1,mapped,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,"Error using run_magnet_n_sweep>runSingleCase (line 238)
no_equilibrium: computeSolenoidRadiusCorrectionFactor found no real equilibrium for n=4.

Error in run_magnet_n_sweep (line 103)
                result = runSingleCase(cfg, variant, magnet_n, rep, run_id);
                         ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^",no_equilibrium,0,0,0
full_n0004_rep03_mapped,full,4,3,0,NaT,21-May-2026 11:16:06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-O1,mapped,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,"Error using run_magnet_n_sweep>runSingleCase (line 238)
no_equilibrium: computeSolenoidRadiusCorrectionFactor found no real equilibrium for n=4.

Error in run_magnet_n_sweep (line 103)
                result = runSingleCase(cfg, variant, magnet_n, rep, run_id);
                         ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^",no_equilibrium,0,0,0
reduced_n0004_rep01_mapped,reduced,4,1,0,NaT,21-May-2026 11:16:06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-O1,mapped,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,"Error using run_magnet_n_sweep>runSingleCase (line 238)
no_equilibrium: computeSolenoidRadiusCorrectionFactor found no real equilibrium for n=4.

Error in run_magnet_n_sweep (line 103)
                result = runSingleCase(cfg, variant, magnet_n, rep, run_id);
                         ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^",no_equilibrium,0,0,0
reduced_n0004_rep02_mapped,reduced,4,2,0,NaT,21-May-2026 11:16:06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-O1,mapped,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,"Error using run_magnet_n_sweep>runSingleCase (line 238)
no_equilibrium: computeSolenoidRadiusCorrectionFactor found no real equilibrium for n=4.

Error in run_magnet_n_sweep (line 103)
                result = runSingleCase(cfg, variant, magnet_n, rep, run_id);
                         ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^",no_equilibrium,0,0,0
reduced_n0004_rep03_mapped,reduced,4,3,0,NaT,21-May-2026 11:16:06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-O1,mapped,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,"Error using run_magnet_n_sweep>runSingleCase (line 238)
no_equilibrium: computeSolenoidRadiusCorrectionFactor found no real equilibrium for n=4.

Error in run_magnet_n_sweep (line 103)
                result = runSingleCase(cfg, variant, magnet_n, rep, run_id);
                         ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^",no_equilibrium,0,0,0
full_n0006_rep01_mapped,full,6,1,1,21-May-2026 11:16:06,21-May-2026 11:16:50,12,10,0.05,0.005,2000,36,5,0,0.05,0.398166,0.39299,280,280,51,24,-O1,mapped,0.56440190770214,14.080862,15.276039,13.358795,28.635835,NaN,43.773416,6855592,0.0301175269560138,29,0,7,7,1,1,1,1.70291666666667,1.02,4.65275,8.579,1.80363888888889,1.1065,4.66475,8.591,0.519555555555556,6.687,860.118078661402,0.0471071675266924,244.44224100013,166.639904659676,0.0105022871945472,0.0471071675266924,244.44224100013,0.961252939123719,1,/home/mariujf/n_sweep/isolated_experiment2/results_magnet_n_sweep/generated_code/full_n0006_rep01_mapped,,ok,6845532,115775,111861
full_n0006_rep02_mapped,full,6,2,1,21-May-2026 11:16:51,21-May-2026 11:17:31,12,10,0.05,0.005,2000,36,5,0,0.05,0.221508,0.044567,280,280,51,24,-O1,mapped,0.56440190770214,13.216296,13.319939,13.2014,26.521533,NaN,40.19926,6855592,0.0301175269560138,29,0,7,7,1,1,1,2.80752777777778,2.097,5.7015,9.901,2.91133333333333,2.12,5.71325,9.96,0.456555555555555,8.015,860.118078661402,0.0471071675266924,244.44224100013,166.639904659676,0.0105022871945472,0.0471071675266924,244.44224100013,0.961252939123719,1,/home/mariujf/n_sweep/isolated_experiment2/results_magnet_n_sweep/generated_code/full_n0006_rep02_mapped,,ok,6845532,115775,111861
full_n0006_rep03_mapped,full,6,3,1,21-May-2026 11:17:31,21-May-2026 11:18:12,12,10,0.05,0.005,2000,36,5,0,0.05,0.198504,0.039826,280,280,51,24,-O1,mapped,0.56440190770214,13.811926,13.25672,13.29984,26.556671,NaN,40.823088,6855592,0.0301175269560138,29,0,7,7,1,1,1,3.19986111111111,2.131,6.70525,11.184,3.34180555555556,2.2255,6.79925,11.206,0.511805555555556,9.389,860.118078661402,0.0471071675266924,244.44224100013,166.639904659676,0.0105022871945472,0.0471071675266924,244.44224100013,0.961252939123719,1,/home/mariujf/n_sweep/isolated_experiment2/results_magnet_n_sweep/generated_code/full_n0006_rep03_mapped,,ok,6845532,115775,111861
reduced_n0006_rep01_mapped,reduced,6,1,1,21-May-2026 11:18:12,21-May-2026 11:18:49,10,10,0.05,0.005,2000,34,5,0,0.05,0.404516,0.04051,278,278,34,20,-O1,mapped,0.56440190770214,13.48527,11.743656,11.775214,23.519013,NaN,37.626717,6402390,0.0301175269560138,28,0,6,6,1,1,1,2.81705882352941,2.0315,6.82355,9.135,2.90541176470588,2.1095,6.83555,9.147,0.472617647058824,7.683,15150.5704735336,0.0474773998280204,2192.62923923122,2560.9392763721,0.00907142939710149,0.0474773998280204,2192.62923923122,0.954896662633023,1,/home/mariujf/n_sweep/isolated_experiment2/results_magnet_n_sweep/generated_code/reduced_n0006_rep01_mapped,,ok,6391967,106158,102266
reduced_n0006_rep02_mapped,reduced,6,2,1,21-May-2026 11:18:50,21-May-2026 11:19:27,10,10,0.05,0.005,2000,34,5,0,0.05,0.358576,0.042103,278,278,34,20,-O1,mapped,0.56440190770214,13.757633,11.73155,11.719465,23.45113,NaN,37.843919,6402390,0.0301175269560138,28,0,6,6,1,1,1,2.71561764705882,1.9735,6.814,9.191,2.80544117647059,2.021,6.8314,9.203,0.467558823529412,7.817,15150.5704735336,0.0474773998280204,2192.62923923122,2560.9392763721,0.00907142939710149,0.0474773998280204,2192.62923923122,0.954896662633023,1,/home/mariujf/n_sweep/isolated_experiment2/results_magnet_n_sweep/generated_code/reduced_n0006_rep02_mapped,,ok,6391967,106158,102266
reduced_n0006_rep03_mapped,reduced,6,3,1,21-May-2026 11:19:28,21-May-2026 11:20:05,10,10,0.05,0.005,2000,34,5,0,0.05,0.368072,0.039067,278,278,34,20,-O1,mapped,0.56440190770214,13.190969,11.48426,11.698829,23.183208,NaN,36.938196,6402390,0.0301175269560138,28,0,6,6,1,1,1,2.71564705882353,1.967,6.82205,9.01,2.80788235294118,2.0155,6.83635,9.021,0.472058823529412,7.708,15150.5704735336,0.0474773998280204,2192.62923923122,2560.9392763721,0.00907142939710149,0.0474773998280204,2192.62923923122,0.954896662633023,1,/home/mariujf/n_sweep/isolated_experiment2/results_magnet_n_sweep/generated_code/reduced_n0006_rep03_mapped,,ok,6391967,106158,102266
full_n0008_rep01_mapped,full,8,1,1,21-May-2026 11:20:05,21-May-2026 11:20:44,12,10,0.05,0.005,2000,34,5,0,0.05,0.179721,0.03957,280,280,51,24,-O1,mapped,0.565776750905842,13.494558,12.506437,12.508149,25.014745,NaN,38.893009,6912780,0.0303908501858847,28,0,6,6,1,1,1,2.94194117647059,2.5615,4.54275,8.56,3.02870588235294,2.586,4.69485,8.574,0.499029411764706,7.809,4103.31263920862,0.0239392687647214,582.781310431863,693.650346438694,0.00618710247087779,0.0239392687647214,582.781310431863,0.922418545206496,1,/home/mariujf/n_sweep/isolated_experiment2/results_magnet_n_sweep/generated_code/full_n0008_rep01_mapped,,ok,6902720,116073,112159
full_n0008_rep02_mapped,full,8,2,1,21-May-2026 11:20:44,21-May-2026 11:21:23,12,10,0.05,0.005,2000,34,5,0,0.05,0.182766,0.039554,280,280,51,24,-O1,mapped,0.565776750905842,13.621664,12.549814,12.436288,24.986304,NaN,39.013751,6912780,0.0303908501858847,28,0,6,6,1,1,1,2.90526470588235,2.5295,4.74865,8.802,3.02888235294118,2.5425,5.3219,8.888,0.512647058823529,8.37,4103.31263920862,0.0239392687647214,582.781310431863,693.650346438694,0.00618710247087779,0.0239392687647214,582.781310431863,0.922418545206496,1,/home/mariujf/n_sweep/isolated_experiment2/results_magnet_n_sweep/generated_code/full_n0008_rep02_mapped,,ok,6902720,116073,112159
full_n0008_rep03_mapped,full,8,3,1,21-May-2026 11:21:23,21-May-2026 11:22:03,12,10,0.05,0.005,2000,34,5,0,0.05,0.178003,0.039682,280,280,51,24,-O1,mapped,0.565776750905842,14.219389,12.481874,12.647462,25.129449,NaN,39.725104,6912780,0.0303908501858847,28,0,6,6,1,1,1,2.89402941176471,2.564,4.50225,8.56,2.97935294117647,2.5935,4.6579,8.574,0.49185294117647,7.685,4103.31263920862,0.0239392687647214,582.781310431863,693.650346438694,0.00618710247087779,0.0239392687647214,582.781310431863,0.922418545206496,1,/home/mariujf/n_sweep/isolated_experiment2/results_magnet_n_sweep/generated_code/full_n0008_rep03_mapped,,ok,6902720,116073,112159
reduced_n0008_rep01_mapped,reduced,8,1,1,21-May-2026 11:22:03,21-May-2026 11:22:40,10,10,0.05,0.005,2000,34,5,0,0.05,0.356279,0.03978,278,278,34,20,-O1,mapped,0.565776750905842,13.728988,11.27934,11.354247,22.633709,NaN,36.925797,6436830,0.0303908501858847,28,0,6,6,1,1,1,2.99558823529412,2.3725,5.9094,8.343,3.08276470588235,2.431,5.9211,8.356,0.496852941176471,7.837,60424.4692244956,0.190516233969485,8617.74590550744,10213.6082479208,0.0325894409022868,0.190516233969485,8617.74590550744,0.923512707065637,1,/home/mariujf/n_sweep/isolated_experiment2/results_magnet_n_sweep/generated_code/reduced_n0008_rep01_mapped,,ok,6426407,106328,102436
